NOCCourseId,Duration,Duration (int)
noc22-ma61,12 Weeks,12
noc22-ma63,12 Weeks,12
noc22-ma64,12 Weeks,12
noc22-ma66,12 Weeks,12
noc22-ma67,12 Weeks,12
noc22-ma68,4 Weeks,4 
noc22-ma69,12 Weeks,12
noc22-ma70,12 Weeks,12
noc22-ma71,12 Weeks,12
noc22-ma72,12 Weeks,12
noc22-ma73,12 Weeks,12
noc22-ma75,12 Weeks,12
noc22-ma76,12 Weeks,12
noc22-ma77,12 Weeks,12
noc22-ma79,12 Weeks,12
noc22-ma81,12 Weeks,12
noc22-ma82,12 Weeks,12
noc22-ma83,12 weeks,12
noc22-me70,12 Weeks,12
noc22-me71,12 Weeks,12
noc22-me74,12 Weeks,12
noc22-me75,12 Weeks,12
noc22-me80,12 Weeks,12
noc22-me83,12 Weeks,12
noc22-me84,12 Weeks,12
noc22-me87,12 Weeks,12
noc22-me88,12 Weeks,12
noc22-me89,12 Weeks,12
noc22-me90,12 Weeks,12
noc22-me92,8 Weeks,8 
noc22-me95,12 Weeks,12
noc22-me96,12 Weeks,12
noc22-me97,12 Weeks,12
noc22-me98,12 Weeks,12
noc22-me99,12 Weeks,12
noc22-me101,12 Weeks,12
noc22-me102,12 Weeks,12
noc22-me103,12 Weeks,12
noc22-me104,12 Weeks,12
noc22-me105,12 Weeks,12
noc22-me106,12 Weeks,12
noc22-me108,8 Weeks,8 
noc22-me110,12 Weeks,12
noc22-me111,12 Weeks,12
noc22-me112,12 Weeks,12
noc22-me113,12 Weeks,12
noc22-me114,12 Weeks,12
noc22-me115,12 Weeks,12
noc22-me116,12 Weeks,12
noc22-me117,12 Weeks,12
noc22-me119,8 weeks,8 
noc22-me120,12 Weeks,12
noc22-me122,12 Weeks,12
noc22-me123,12 Weeks,12
noc22-me124,8 weeks,8 
noc22-me125,12 Weeks,12
noc22-me126,8 Weeks,8 
noc22-me127,12 Weeks,12
noc22-me128,12 Weeks,12
noc22-me129,12 Weeks,12
noc22-me130,12 Weeks,12
noc22-me133,12 Weeks,12
noc22-me137,12 Weeks,12
noc22-me138,12 Weeks,12
noc22-me139,12 Weeks,12
noc22-mm25,8 Weeks,8 
noc22-mm30,4 weeks,4 
noc22-mm31,12 Weeks,12
noc22-mm32,12 Weeks,12
noc22-mm34,12 Weeks,12
noc22-mm36,12 Weeks,12
noc22-mm37,12 Weeks,12
noc22-mm38,12 Weeks,12
noc22-mm39,12 Weeks,12
noc22-mm40,12 Weeks,12
noc22-mm41,12 Weeks,12
noc22-mm42,12 Weeks,12
noc22-mm43,4 Weeks  ,4 
noc22-mm44,8 Weeks,8 
noc22-mm46,12 Weeks,12
noc22-mm47,12 Weeks,12
noc22-mm48,12 Weeks,12
noc22-mm49,8 Weeks ,8 
noc22-ge20,8 Weeks,8 
noc22-ge21,12 Weeks,12
noc22-ge22,12 Weeks,12
noc22-ge23,8 Weeks,8 
noc22-ge26,12 Weeks,12
noc22-ge27,8 Weeks,8 
noc22-ge28,12 Weeks,12
noc22-ge29,12 Weeks,12
noc22-ge30,12 Weeks,12
noc22-ge31,8 weeks,8 
noc22-oe03,12 Weeks,12
noc22-oe04,12 Weeks,12
noc22-oe06,12 Weeks,12
noc22-oe07,12 Weeks,12
noc22-ph26,12 Weeks,12
noc22-ph27,12 Weeks,12
noc22-ph28,12 Weeks,12
noc22-ph29,12 Weeks,12
noc22-ph30,12 Weeks,12
noc22-ph32,12 Weeks,12
noc22-ph33,12 Weeks,12
noc22-ph34,12 Weeks,12
noc22-ph35,12 Weeks,12
noc22-ph36,12 Weeks,12
noc22-ph37,12 Weeks,12
noc22-ph38,12 Weeks,12
noc22-ph39,12 Weeks,12
noc22-ph41,12 Weeks,12
noc22-ph43,12 Weeks,12
noc22-ph44,12 Weeks,12
noc22-ph45,12 Weeks,12
noc22-ph46,12 Weeks,12
noc22-te07,12 Weeks,12
noc22-te08,12 Weeks,12
noc22-te09,12 Weeks,12
noc22-te10,12 Weeks,12
noc22-te11,12 Weeks,12
noc22-te12,12 Weeks,12
noc22-mg113,12 Weeks,12
noc22-ce104,12 Weeks,12
